,State/County,"Population, 2013 estimate","Population, 2012 estimate","Population, 2010 (April 1) estimates base","Population, percent change - April 1, 2010 to July 1, 2013","Population, percent change - April 1, 2010 to July 1, 2012","Population, 2010","Persons under 5 years, percent, 2012","Persons under 18 years, percent, 2012","Persons 65 years and over, percent, 2012","Female persons, percent, 2012","White alone, percent, 2012","Black or African American alone, percent, 2012","American Indian and Alaska Native alone, percent, 2012","Asian alone, percent, 2012","Native Hawaiian and Other Pacific Islander alone, percent, 2012","Two or More Races, percent, 2012","Hispanic or Latino, percent, 2012","White alone, not Hispanic or Latino, percent, 2012","Living in same house 1 year & over, percent, 2008-2012","Foreign born persons, percent, 2008-2012","Language other than English spoken at home, pct age 5+, 2008-2012","High school graduate or higher, percent of persons age 25+, 2008-2012","Bachelor's degree or higher, percent of persons age 25+, 2008-2012","Veterans, 2008-2012","Mean travel time to work (minutes), workers age 16+, 2008-2012","Housing units, 2012","Homeownership rate, 2008-2012","Housing units in multi-unit structures, percent, 2008-2012","Median value of owner-occupied housing units, 2008-2012","Households, 2008-2012","Persons per household, 2008-2012","Per capita money income in past 12 months (2012 dollars), 2008-2012","Median household income, 2008-2012","Persons below poverty level, percent, 2008-2012","Private nonfarm establishments, 2011","Private nonfarm employment, 2011","Private nonfarm employment, percent change, 2010-2011","Nonemployer establishments, 2011","Total number of firms, 2007","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Manufacturers shipments, 2007 ($1,000)","Merchant wholesaler sales, 2007 ($1,000)","Retail sales, 2007 ($1,000)","Retail sales per capita, 2007","Accommodation and food services sales, 2007 ($1,000)","Building permits, 2012","Land area in square miles, 2010","Population per square mile, 2010"
330,FLORIDA,19552860,19320749,18802690,4.0,2.8,18801310,5.5,20.7,18.2,51.1,78.3,16.6,0.5,2.7,0.1,1.9,23.2,57.0,83.7,19.3,27.3,85.8,26.2,1606758,25.8,9031051,68.1,30.1,170800,7147013,2.58,26451,47309,15.6,490851,6732639,1.6,1717627,2009589,9.0,0.5,3.2,0.1,22.4,28.9,104832907,221641518,262341127,14353,41922059,64810,53624.76,350.6
398,GEORGIA,9992167,9915646,9687663,3.1,2.4,9687653,6.8,25.1,11.5,51.1,62.8,31.2,0.5,3.5,0.1,1.8,9.2,55.1,83.3,9.7,13.1,84.4,27.8,701808,27.0,4107482,66.0,20.5,156400,3508477,2.7,25309,49604,17.4,214635,3328033,0.4,786848,901105,20.4,0.7,5.1,0.1,3.6,30.9,144280774,141962359,117516907,12326,16976235,24350,57513.49,168.4
558,HAWAII,1404054,1390090,1360301,3.2,2.2,1360301,6.4,21.8,15.1,49.6,26.1,2.1,0.4,38.3,10.1,23.0,9.5,22.8,84.9,18.1,25.7,90.3,29.6,112589,25.8,524343,58.2,38.6,517000,447453,2.95,29227,67492,10.8,31472,485548,1.4,94118,120374,0.9,1.3,47.2,9.5,3.6,31.0,8799266,8894672,17611851,13793,8042210,2993,6422.63,211.8
564,IDAHO,1612136,1595590,1567652,2.8,1.8,1567582,7.3,26.7,13.3,50.0,93.8,0.8,1.7,1.4,0.2,2.2,11.6,83.5,82.3,6.0,10.4,88.6,24.7,125905,20.1,673054,70.1,15.1,167100,577648,2.66,22581,47015,15.1,42399,482722,-1.1,113472,151671,0.2,0.9,0.8,0.0,2.6,23.5,18010976,14286715,20526631,13691,2415951,6265,82643.12,19.0
609,ILLINOIS,12882135,12868192,12830632,0.4,0.3,12830632,6.3,23.8,13.2,50.9,77.9,14.8,0.6,5.0,0.1,1.7,16.3,63.0,86.8,13.8,22.2,87.0,31.1,755256,28.1,5295329,68.0,32.9,190800,4774275,2.62,29519,56853,13.7,312437,5038462,1.2,920076,1123817,9.5,0.5,5.3,0.1,5.0,30.5,257760713,231082768,165450520,12947,25469026,13797,55518.93,231.1
712,INDIANA,6570902,6537782,6483797,1.3,0.8,6483802,6.5,24.3,13.6,50.8,86.6,9.4,0.4,1.8,0.1,1.8,6.3,81.0,84.7,4.6,8.1,87.0,23.0,468648,23.2,2808256,70.6,18.5,123400,2478846,2.54,24558,48374,14.7,143479,2440507,1.7,386889,482847,4.6,0.5,1.8,0.0,1.8,26.8,221877814,67634947,78745589,12408,11669759,13781,35826.11,181.0
805,IOWA,3090416,3075039,3046857,1.4,0.9,3046355,6.4,23.5,15.3,50.4,92.8,3.2,0.5,2.0,0.1,1.6,5.3,88.0,84.7,4.3,7.1,90.7,25.3,233698,18.7,1345738,72.6,18.4,123000,1223509,2.41,26545,51129,12.2,80113,1263665,0.8,202971,259931,0.8,0.2,1.1,0.1,0.9,25.5,97592051,41068338,39234649,13172,4737719,9501,55857.13,54.5
905,KANSAS,2893957,2885398,2853116,1.4,1.1,2853118,7.0,25.1,13.7,50.3,87.2,6.2,1.2,2.6,0.1,2.7,11.0,77.5,83.0,6.5,10.9,89.7,30.0,218511,18.9,1238719,68.2,17.6,127400,1109391,2.5,26845,51273,13.2,73598,1113423,-1.2,186495,237040,2.4,0.9,2.0,0.0,2.4,27.5,76751828,45863865,34538332,12444,4192347,6252,81758.72,34.9
1011,KENTUCKY,4395295,4379730,4339357,1.3,0.9,4339367,6.4,23.2,14.0,50.7,88.6,8.1,0.3,1.3,0.1,1.6,3.2,85.9,84.9,3.2,4.8,82.4,21.0,319678,22.7,1937312,68.7,18.0,120000,1691716,2.49,23210,42610,18.6,89770,1463173,0.4,275059,337600,3.1,0.3,1.6,0.0,1.1,25.6,119105421,74680759,50405925,11843,6300866,9725,39486.34,109.9
1132,LOUISIANA,4625470,4602134,4533372,2.0,1.5,4533372,6.8,24.3,12.9,51.1,63.7,32.4,0.7,1.7,0.1,1.4,4.5,59.9,85.5,3.7,8.7,82.2,21.4,313006,24.9,1986981,67.4,18.3,137700,1696499,2.59,24264,44673,18.7,103216,1617229,1.1,336328,375808,15.9,0.7,2.8,0.0,2.9,27.4,205054723,51415553,56543203,12921,9729869,13018,43203.9,104.9
1197,MAINE,1328302,1328501,1328361,0.0,0.0,1328361,5.0,20.0,17.0,51.1,95.3,1.3,0.7,1.1,0.0,1.5,1.4,94.1,86.3,3.3,7.0,90.6,27.3,130685,23.3,724224,72.1,19.4,175600,553208,2.34,26464,48219,13.3,40112,479728,-0.3,110500,150389,0.5,0.5,0.7,0.0,0.7,25.6,16363192,8823719,20444031,15520,2515827,3001,30842.92,43.1
1214,MARYLAND,5928814,5884868,5773623,2.7,1.9,5773552,6.2,22.8,13.0,51.6,60.8,30.0,0.5,6.0,0.1,2.5,8.7,53.9,86.6,13.8,16.5,88.5,36.3,438387,31.8,2395571,68.1,25.5,304900,2138806,2.64,36056,72999,9.4,133248,2104022,1.4,432590,528112,19.3,0.6,6.8,0.1,4.9,32.6,41456097,51276797,75664186,13429,10758428,15217,9707.24,594.8
1239,MASSACHUSETTS,6692824,6645303,6547629,2.2,1.5,6547629,5.5,21.1,14.4,51.5,83.7,7.9,0.5,5.8,0.1,2.0,10.1,75.8,86.7,14.8,21.7,89.1,39.0,400874,27.7,2810245,63.2,41.6,335500,2525694,2.5,35485,66658,11.0,169146,2960712,1.1,479776,596790,3.4,0.4,4.5,0.0,3.3,29.8,86428959,95275672,88082966,13553,14917210,11111,7800.06,839.4
1254,MICHIGAN,9895622,9882519,9883701,0.1,0.0,9883640,5.8,22.9,14.6,50.9,80.1,14.3,0.7,2.6,0.0,2.2,4.6,76.2,85.4,6.0,9.0,88.7,25.5,692582,23.9,4525004,72.8,18.0,128600,3818931,2.53,25547,48471,16.3,217344,3379035,2.8,687228,816972,8.9,0.7,2.6,0.1,1.3,30.4,234455768,107109349,109102594,10855,14536648,11692,56538.9,174.8
1338,MINNESOTA,5420380,5379646,5303925,2.2,1.4,5303925,6.5,23.7,13.6,50.3,86.5,5.5,1.3,4.4,0.1,2.2,4.9,82.4,85.5,7.2,10.6,91.9,32.2,377522,22.7,2361352,73.0,21.6,194300,2101875,2.46,30656,59126,11.2,144606,2393746,1.5,387440,496657,2.5,0.6,2.3,0.0,1.0,26.8,107563060,82878056,71384103,13751,10423660,16095,79626.74,66.6
1426,MISSISSIPPI,2991207,2986450,2967299,0.8,0.6,2967297,6.8,25.0,13.5,51.4,59.9,37.4,0.6,0.9,0.1,1.1,2.9,57.6,85.6,2.2,3.9,81.0,20.0,207673,23.9,1283850,69.9,13.6,100200,1087791,2.64,20670,38882,22.3,58592,887772,0.6,198171,225977,18.0,0.3,1.8,0.0,0.8,26.9,59869456,23003585,33751407,11552,7045097,6039,46923.27,63.2
1509,MISSOURI,6044171,6024522,5988923,0.9,0.6,5988927,6.3,23.3,14.7,51.0,83.9,11.7,0.5,1.8,0.1,2.0,3.7,80.6,83.6,3.9,6.1,87.2,25.8,494876,23.2,2719951,69.0,19.7,138400,2358270,2.46,25546,47333,15.0,147274,2298295,0.3,395523,501064,4.9,0.6,1.9,0.1,1.2,26.1,110907604,81032913,76575216,12957,11070634,12297,68741.52,87.1
1625,MONTANA,1015165,1005494,989417,2.6,1.6,989415,6.1,22.1,15.7,49.8,89.7,0.6,6.5,0.7,0.1,2.5,3.1,87.2,83.6,2.0,4.6,91.9,28.5,97991,18.0,486141,68.5,16.6,183000,405508,2.37,25002,45456,14.8,35687,336110,-0.7,84070,114398,0.2,2.0,0.6,0.0,1.0,24.6,10638145,8202782,14686854,15343,2079426,2736,145545.8,6.8
